;; -*- coding: utf-8 -*--
jiu-bie-xiang 就别想
ri-ben-diao-si 日本屌丝
meng-de 猛地
wo-ba-ma-you 我爸妈又
mo-sha-bo-li 磨砂玻璃
guan-ni-pi-shi 关你屁事
suan-shi 算是
yao-bu 要补
xue-di 雪地
fan-le 翻了
bei-zhe 背着
zhe-gu 这股
bao-pi-qi 暴脾气
kai-xue 开学
shan-ding-dong 山顶洞
xin-fang-feng 新房风
bei-jing 背景
qu 去
ke-nan 柯南
jiu-lia 就俩
mou-jian 某间
wen 温
you-dian-yan-su 有点严肃
hui-meng-meng 灰蒙蒙
cheng-li-de 成立的
zhu-mu 瞩目
du 独
zhi-chu 之处
ni-huai-li 你怀里
mei 没
jiao-hui-le 教会了
zui-cha 最差
shi-guo-le 试过了
xi-shou-jian 洗手间
huan-gei-wo-la 还给我啦
xia-di 下地
shang-xing-qi-yi 上星期一
qi-zhen 奇珍
ri-jian 日渐
gang-jin 钢筋
zhe-niao-xing 这尿性
bu-ren-shi 不认识
zhen-xi 真系
neng-tui 能退
mian-shu 面数
bu-shao-qian 不少钱
she-you 舍友
ben-zhi-shang 本质上
yi-ke-lao-shu-shi 一颗老鼠屎
hu-wei 护卫
hao-jiu-mei-zuo 好久没做
shi-you 室友
gui-a 贵啊
shi-yu 世羽
dong-de 懂得
mo-ming-you-gu 莫名有股
lan 栏
dian-yin 电音
ti-qin 提琴
dang-an-guan 档案馆
liu-xu 刘旭
shi-bu-yan-jin 是不严谨
yao-yong 要用
fang-zai-na-li-de 放在哪里的
gan-gan-shen-me 干干什么
qu-zhao-ni-de 去找你的
wo-zai-meng-zhong 我在梦中
xin-kuai-zhao 新快照
wo-xiao-er-bu-yu 我笑而不语
wo-shi-ni-de 我是你的
qi-lin-bi 麒麟臂
hui-gui 回归
gei-wo-yi-bei 给我一杯
zhe-ge-ren 这个人
gao-shen 高深
ling-wo 令我
you-shi-jian 有时间
a-mei 阿梅
chen-si 沉思
shen-ming 神明
zhe-tai-neng 这太能
shuo-de-ba 说的吧
chang-me 唱么
ci-wai 此外
you-nao 右脑
fa-cuo-di-fang-le 发错地方了
zhe-ge-ming-zi 这个名字
yi 伊
shuo-chu-qu 说出去
yi-di-xue 一滴血
ti-gao-gong-zuo-xiao-lv 提高工作效率
bao-nuan-nei-ku 保暖内裤
yao-xue 要削
guang-shang-chang 逛商场
ban-shang 班上
you-hou-men 有后门
jing-tian 惊天
sui-ran-bu-hui 虽然不会
xiu-le 修了
rang-ji 让鸡
tou-gao 投稿
jian 剪
lai-zhao 来招
wu-zhou 五周
liang-pen 两喷
qi-tian 七天
zhe-ke-shi 这可是
ti-xia-di 踢下地
shi-pin-jian-ji 视频剪辑
mai-a 买啊
zen-me-bu-jie 怎么不接
hua-shi 画师
ji-dong 激动
shuo-yi-xia 说一下
zui-zhuang-bi 最装逼
zi-you-neng-yuan 自由能源
zheng-zai-qian-wang 正在前往
hou-mian-jin-qu 后面进去
zhen-sao 真骚
tu-ran-ming-bai-le 突然明白了
mei-ren-zhu 没忍住
wei-da 伟大
wo-men-shi 我们是
jiao-le 交了
shou-dao 受到
jiu-shui-jiao 就睡觉
na-qu 哪去
xiao-niao-wo 笑尿我
zang-dan 脏弾
wei-dao 味道
wo-yao-shui-le 我要睡了
wo-di-yi-ci 我第一次
na-liang-gen 那两根
da-gai 大概
gang-zhong 缸中
xing-de 幸得
fu 付
chun-jing-le 纯净了
duo-hua 多话
shou-ji-qi-lai 收集起来
shuai-huai-le 摔坏了
shou 守
xiao-hao-le 消耗了
zhong-guo 中国
guo-qiang 过墙
wo-ji-ben-dou 我基本都
guan-zhu-ta-men 关注他们
xie-bu-shang-qu 写不上去
la-du 拉肚
yue-duo-yue-hao 越多越好
